Step mapping:
  003029: 0.2 → 0.05
  300540: 0.2 → 0.05
  600975: 0.05 → 0.02
  000025: 0.1 → 0.02
  603551: 0.1 → 0.02
  601949: 0.05 → 0.02
  002462: 0.1 → 0.02
  300388: 0.05 → 0.02
  002609: 0.05 → 0.02
  进度: 1000/84255 (1.2%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 1500/84255 (1.8%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 2000/84255 (2.4%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 2500/84255 (3.0%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 3000/84255 (3.6%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 3500/84255 (4.2%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 4000/84255 (4.7%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 4500/84255 (5.3%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 5000/84255 (5.9%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 5500/84255 (6.5%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 6000/84255 (7.1%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 6500/84255 (7.7%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 7000/84255 (8.3%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 7500/84255 (8.9%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 8000/84255 (9.5%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 8500/84255 (10.1%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 9000/84255 (10.7%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 9500/84255 (11.3%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 10000/84255 (11.9%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 10500/84255 (12.5%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 11000/84255 (13.1%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 11500/84255 (13.6%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 12000/84255 (14.2%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 12500/84255 (14.8%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 13000/84255 (15.4%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 13500/84255 (16.0%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 14000/84255 (16.6%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 14500/84255 (17.2%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 15000/84255 (17.8%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
